nombres_nominados_nominadas;genero;lugar_de_nacimiento;nacionalidad_1;nacionalidad_2;raza_o_etnia;su_debut_fue_estadounidense;titulo_original_pelicula_debut;categoria_nominacion_oscar;fue_ganador_o_ganadora;ano_ceremonia;titulo_original_pelicula_nominada;companias_produccion;paises_de_produccion;;
Jimmy Stewart;Masculino;Indiana, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Murder Man;Mejor actor;No;1940;Mr. Smith Goes to Washington;;;;
Bette Davis;Femenino;Lowell, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Bad Sister;Mejor actriz;No;1940;Dark Victory;;;;
Irene Dunne;Femenino;Louisville, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Leathernecking;Mejor actriz;No;1940;Love Affair;;;;
Greta Garbo;Femenino;Estocolmo, Suecia;Sueca;Estadounidense;Blanca;No; Luffar-Petter;Mejor actriz;No;1940;Ninotchka;;;;
Greer Garson;Femenino;Londres, Inglaterra;Británica;Estadounidense ;Blanca;Sí; Goodbye,  Mr. Chips;Mejor actriz;No;1940;Goodbye, Mr. Chips;;;;
Vivien Leigh;Femenino;Darjeeling, India;Británica;No aplica;Blanca;No; The Village Squire;Mejor actriz;Sí;1940;Gone with the Wind;;;;
Charles Chaplin;Masculino;Londres, Inglaterra;Británica;No aplica;Blanca;Sí; Making a Living;Mejor actor;No;1941;The Great Dictator;;;;
Henry Fonda;Masculino;Grand Island, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Farmer Takes a Wife;Mejor actor;No;1941;The Grapes of Wrath;;;;
Raymond Massey;Masculino;Toronto, Canadá;Canadiense;Estadounidense;Blanca;No; The Speckled Band;Mejor actor;No;1941;Abe Lincoln in Illinois;;;;
Laurence Olivier;Masculino;Dorking, Inglaterra;Británica;No aplica;Blanca;No; The Temporary Widow;Mejor actor;No;1941;Rebecca;;;;
Jimmy Stewart;Masculino;Indiana, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Murder Man;Mejor actor;Sí;1941;The Philadelphia Story;;;;
Bette Davis;Femenino;Lowell, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Bad Sister;Mejor actriz;No;1941;The Letter;;;;
Joan Fontaine;Femenino;Tokio, Japón;Británica;Estadounidense;Blanca;Sí; No More Ladies;Mejor actriz;No;1941;Rebecca;;;;
Katharine Hepburn;Femenino;Hartford, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; A Bill of Divorcement;Mejor actriz;No;1941;The Philadelphia Story;;;;
Ginger Rogers;Femenino;Independence, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Follow the Leader;Mejor actriz;Sí;1941;Kitty Foyle;;;;
Martha Scott;Femenino;Jamesport, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Our Town;Mejor actriz;No;1941;Our Town;;;;
Gary Cooper;Masculino;Helena, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Winning of Barbara Worth;Mejor actor;Sí;1942;Sergeant York;;;;
Cary Grant;Masculino;Bristol, Inglaterra;Británica;Estadounidense;Blanca;Sí; This Is the Night;Mejor actor;No;1942;Penny Serenade;;;;
Walter Huston;Masculino;Toronto, Canadá;Canadiense;Estadounidense;Blanca;Sí; Gentlemen of the Press;Mejor actor;No;1942;All That Money Can Buy;;;;
Robert Montgomery;Masculino;Beacon, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; So This Is College;Mejor actor;No;1942;Here Comes Mr. Jordan;;;;
Orson Welles;Masculino;Kenosha, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Citizen Kane;Mejor actor;No;1942;Citizen Kane;;;;
Bette Davis;Femenino;Lowell, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Bad Sister;Mejor actriz;No;1942;The Little Foxes;;;;
Olivia de Havilland;Femenino;Tokio, Japón;Británica;Estadounidense;Blanca;Sí; Alibi Ike;Mejor actriz;No;1942;Hold Back the Dawn;;;;
Joan Fontaine;Femenino;Tokio, Japón;Británica;Estadounidense;Blanca;Sí; No More Ladies;Mejor actriz;Sí;1942;Suspicion;;;;
Greer Garson;Femenino;Londres, Inglaterra;Británica;Estadounidense ;Blanca;Sí; Goodbye,  Mr. Chips;Mejor actriz;No;1942;Blossoms in the Dust;;;;
Barbara Stanwyck;Femenino;Brooklyn, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Locked Door;Mejor actriz;No;1942;Ball of Fire;;;;
James Cagney;Masculino;Manhattan, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; Sinners' Holiday;Mejor actor;Sí;1943;Yankee Doodle Dandy;;;;
Ronald Colman;Masculino;Richmond, Inglaterra;Británica;No aplica;Blanca;No; The Live Wire;Mejor actor;No;1943;Random Harvest;;;;
Gary Cooper;Masculino;Helena, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Winning of Barbara Worth;Mejor actor;No;1943;The Pride of the Yankees;;;;
Walter Pidgeon;Masculino;Saint John, Canadá;Canadiense;Estadounidense;Blanca;Sí; Mannequin;Mejor actor;No;1943;Mrs. Miniver;;;;
Monty Woolley;Masculino;Nueva York, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Live, Love and Learn;Mejor actor;No;1943;The Pied Piper;;;;
Bette Davis;Femenino;Lowell, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Bad Sister;Mejor actriz;No;1943;Now, Voyager;;;;
Greer Garson;Femenino;Londres, Inglaterra;Británica;Estadounidense ;Blanca;Sí; Goodbye,  Mr. Chips;Mejor actriz;Sí;1943;Mrs. Miniver;;;;
Katharine Hepburn;Femenino;Hartford, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; A Bill of Divorcement;Mejor actriz;No;1943;Woman of the Year;;;;
Rosalind Russell;Femenino;Waterbury, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Evelyn Prentice;Mejor actriz;No;1943;My Sister Eileen;;;;
Teresa Wright;Femenino;Harlem, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Little Foxes;Mejor actriz;No;1943;The Pride of the Yankees;;;;
Humphrey Bogart;Masculino;Nueva York, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Up the River;Mejor actor;No;1944;Casablanca;;;;
Gary Cooper;Masculino;Helena, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; The Winning of Barbara Worth;Mejor actor;No;1944;For Whom the Bell Tolls;;;;
Paul Lukas;Masculino;Budapest, Hungría;Húngara;Estadounidense ;Blanca;Sí; A Man of the Earth;Mejor actor;Sí;1944;Watch on the Rhine;;;;
Walter Pidgeon;Masculino;East Saint John, Canadá;Canadiense;Estadounidense;Blanca;Sí; Mannequin;Mejor actor;No;1944;Madame Curie;;;;
Mickey Rooney;Masculino;Brooklyn, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; Not to Be Trusted;Mejor actor;No;1944;The Human Comedy;;;;
Jean Arthur;Femenino;Plattsburgh, Estados Unidos;Estadounidense ;No aplica;Blanca;Sí; Cameo Kirby;Mejor actriz;No;1944;The More the Merrier;;;;
Ingrid Bergman;Femenino;Estocolmo, Suecia;Sueca ;No aplica;Blanca;No; Munkbrogreven;Mejor actriz;No;1944;For Whom the Bell Tolls;;;;
