nombres_nominados_nominadas;genero;lugar_de_nacimiento;nacionalidad_1;nacionalidad_2;raza_o_etnia;su_debut_fue_estadounidense;titulo_original_pelicula_debut;categoria_nominacion_oscar;fue_ganador_o_ganadora;ano_ceremonia;titulo_original_pelicula_nominada;companias_produccion;paises_de_produccion;;
Woody Harrelson;Masculino;Midland, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Wildcats;Mejor actor;No;1997;The People vs. Larry Flynt;;;;
Geoffrey Rush;Masculino;Toowoomba, Australia;Australiana;No aplica;Blanca;No; Hoodwink;Mejor actor;Sí;1997;Shine;;;;
Billy Bob Thornton;Masculino;Hot Springs, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Hunter's Blood;Mejor actor;No;1997;Sling Blade;;;;
Brenda Blethyn;Femenino;Ramsgate, Inglaterra;Británica;No aplica;Blanca;Sí; The Witches;Mejor actriz;No;1997;Secrets & Lies;;;;
Diane Keaton;Femenino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Lovers and Other Strangers;Mejor actriz;No;1997;Marvin's Room;;;;
Frances McDormand;Femenino;Chicago, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Blood Simple;Mejor actriz;Sí;1997;Fargo;;;;
Kristin Scott Thomas;Femenino;Redruth, Inglaterra;Británica;Francesa;Blanca;Sí; Under the Cherry Moon;Mejor actriz;No;1997;The English Patient;;;;
Emily Watson;Femenino;Islington, Inglaterra;Británica;No aplica;Blanca;Sí; Breaking the Waves;Mejor actriz;No;1997;Breaking the Waves;;;;
Matt Damon;Masculino;Cambridge, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Mystic Pizza;Mejor actor;No;1998;Good Will Hunting;;;;
Robert Duvall;Masculino;San Diego, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; To Kill a Mockingbird;Mejor actor;No;1998;The Apostle;;;;
Peter Fonda;Masculino;Manhattan, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Tammy and the Doctor;Mejor actor;No;1998;Ulee's Gold;;;;
Dustin Hoffman;Masculino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Tiger Makes Out;Mejor actor;No;1998;Wag the Dog;;;;
Jack Nicholson;Masculino;Neptune City, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Cry Baby Killer;Mejor actor;Sí;1998;As Good as It Gets;;;;
Helena Bonham Carter;Femenino;Golders Green, Inglaterra;Británica;No aplica;Blanca;No; Lady Jane;Mejor actriz;No;1998;The Wings of the Dove;;;;
Julie Christie;Femenino;Chabua, India;Británica;No aplica;Blanca;No; Crooks Anonymous;Mejor actriz;No;1998;Afterglow;;;;
Judi Dench;Femenino;York, Inglaterra;Británica;No aplica;Blanca;No; The Third Secret;Mejor actriz;No;1998;Mrs. Brown;;;;
Helen Hunt;Femenino;Culver City, Estados Unidos;Estadounidense;No aplica;Blanca;Sí;  Rollercoaster;Mejor actriz;Sí;1998;As Good as It Gets;;;;
Kate Winslet;Femenino;Reading, Inglaterra;Británica;No aplica;Blanca;No; Heavenly Creatures;Mejor actriz;No;1998;Titanic;;;;
Roberto Benigni;Masculino;Manciano La Misericordia, Italia;Italiana;No aplica;Blanca;No; Berlinguer ti voglio bene;Mejor actor;Sí;1999;Life Is Beautiful;;;;
Tom Hanks;Masculino;Concord, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; He Knows You're Alone;Mejor actor;No;1999;Saving Private Ryan;;;;
Ian McKellen;Masculino;Burnley, Inglaterra;Británica;No aplica;Blanca;Sí; A Touch of Love;Mejor actor;No;1999;Gods and Monsters;;;;
Nick Nolte;Masculino;Omaha, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Return to Macon County;Mejor actor;No;1999;Affliction;;;;
Edward Norton;Masculino;Boston, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Primal Fear;Mejor actor;No;1999;American History X;;;;
Cate Blanchett;Femenino;Melbourne, Australia;Australiana;Estadounidense;Blanca;Sí; Paradise Road;Mejor actriz;No;1999;Elizabeth;;;;
Fernanda Montenegro;Femenino;Río de Janeiro, Brasil;Brasileña;No aplica;Blanca;No; A Falecida;Mejor actriz;No;1999;Central Station;;;;
Gwyneth Paltrow;Femenino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Shout;Mejor actriz;Sí;1999;Shakespeare in Love;;;;
Meryl Streep;Femenino;Summit, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Julia;Mejor actriz;No;1999;One True Thing;;;;
Emily Watson;Femenino;Islington, Inglaterra;Británica;No aplica;Blanca;Sí; Breaking the Waves;Mejor actriz;No;1999;Hilary and Jackie;;;;
Russell Crowe;Masculino;Wellington, Nueva Zelanda;Neozelandés;No aplica;Blanca;No; Blood Oath;Mejor actor;No;2000;The Insider;;;;
Richard Farnsworth;Masculino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Texas Across the River;Mejor actor;No;2000;The Straight Story;;;;
Sean Penn;Masculino;Burbank, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Taps;Mejor actor;No;2000;Sweet and Lowdown;;;;
Kevin Spacey;Masculino;South Orange, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Heartburn;Mejor actor;Sí;2000;American Beauty;;;;
Denzel Washington;Masculino;Mount Vernon, Estados Unidos;Estadounidense;No aplica;Negra;Sí; Carbon Copy;Mejor actor;No;2000;The Hurricane;;;;
Annette Bening;Femenino;Topeka, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Great Outdoors;Mejor actriz;No;2000;American Beauty;;;;
Janet McTeer;Femenino;Newcastle upon Tyne, Inglaterra;Británica;No aplica;Blanca;Sí; Half Moon Street;Mejor actriz;No;2000;Tumbleweeds;;;;
Julianne Moore;Femenino;Fort Bragg, Estados Unidos;Estadounidense;Británica;Blanca;Sí; Tales from the Darkside: The Movie;Mejor actriz;No;2000;The End of the Affair;;;;
Meryl Streep;Femenino;Summit, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Julia;Mejor actriz;No;2000;Music of the Heart;;;;
Hilary Swank;Femenino;Lincoln, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Buffy the Vampire Slayer;Mejor actriz;Sí;2000;Boys Don't Cry;;;;
Javier Bardem;Masculino;Las Palmas de Gran Canaria, España;Española;No aplica;Hispana;No; Las edades de Lulú;Mejor actor;No;2001;Before Night Falls;;;;
Russell Crowe;Masculino;Wellington, Nueva Zelanda;Neozelandesa;No aplica;Blanca;No; Blood Oath;Mejor actor;Sí;2001;Gladiator;;;;
Tom Hanks;Masculino;Concord, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; He Knows You're Alone;Mejor actor;No;2001;Cast Away;;;;
Ed Harris;Masculino;Englewood, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Coma;Mejor actor;No;2001;Pollock;;;;
Geoffrey Rush;Masculino;Toowoomba, Australia;Australiana;No aplica;Blanca;No; Hoodwink;Mejor actor;No;2001;Quills;;;;
Joan Allen;Femenino;Rochelle, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Compromising Positions;Mejor actriz;No;2001;The Contender;;;;
Juliette Binoche;Femenino;París, Francia;Francesa;No aplica;Blanca;No; Liberty belle;Mejor actriz;No;2001;Chocolat;;;;
Ellen Burstyn;Femenino;Detroit, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; For Those Who Think Young;Mejor actriz;No;2001;Requiem for a Dream;;;;
Laura Linney;Femenino;Nueva York, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Lorenzo's Oil;Mejor actriz;No;2001;You Can Count on Me;;;;
Julia Roberts;Femenino;Smyrna, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Satisfaction;Mejor actriz;Sí;2001;Erin Brockovich;;;;
Russell Crowe;Masculino;Wellington, Nueva Zelanda;Neozelandés;No aplica;Blanca;No; Blood Oath;Mejor actor;No;2002;A Beautiful Mind;;;;
Sean Penn;Masculino;Burbank, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Taps;Mejor actor;No;2002;I Am Sam;;;;
Will Smith;Masculino;Filadelfia, Estados Unidos;Estadounidense;No aplica;Negra;Sí; Where the Day Takes You;Mejor actor;No;2002;Ali;;;;
Denzel Washington;Masculino;Mount Vernon, Estados Unidos;Estadounidense;No aplica;Negra;Sí; Carbon Copy;Mejor actor;Sí;2002;Training Day;;;;
Tom Wilkinson;Masculino;Leeds, Inglaterra;Británica;No aplica;Blanca;No; Smuga cienia;Mejor actor;No;2002;In the Bedroom;;;;
Halle Berry;Femenino;Cleveland, Estados Unidos;Estadounidense;No aplica;Multirracial;Sí; Jungle Fever;Mejor actriz;Sí;2002;Monster's Ball;;;;
Judi Dench;Femenino;York, Inglaterra;Británica;No aplica;Blanca;No; The Third Secret;Mejor actriz;No;2002;Iris;;;;
Nicole Kidman;Femenino;Honolulú, Estados Unidos;Estadounidense;Australiana;Blanca;No; Bush Christmas;Mejor actriz;No;2002;Moulin Rouge;;;;
Sissy Spacek;Femenino;Quitman, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Prime Cut;Mejor actriz;No;2002;In the Bedroom;;;;
Renée Zellweger;Femenino;Katy, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Reality Bites;Mejor actriz;No;2002;Bridget Jones's Diary;;;;
Adrien Brody;Masculino;Queens, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; New York Stories;Mejor actor;Sí;2003;The Pianist;;;;
Nicolas Cage;Masculino;Long Beach, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Fast Times at Ridgemont High;Mejor actor;No;2003;Adaptation;;;;
Michael Caine;Masculino;Rotherhithe, Inglaterra;Británica;No aplica;Blanca;No; A Hill in Korea;Mejor actor;No;2003;The Quiet American;;;;
Daniel Day-Lewis;Masculino;Greenwich, Inglaterra;Británica;Irlandesa;Blanca;No; Endless Love;Mejor actor;No;2003;Gangs of New York;;;;
Jack Nicholson;Masculino;Neptune City, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Cry Baby Killer;Mejor actor;No;2003;About Schmidt;;;;
Salma Hayek;Femenino;Coatzacoalcos, México;Mexicana;Estadounidense ;Hispana;Sí; Mi vida loca;Mejor actriz;No;2003;Frida;;;;
Nicole Kidman;Femenino;Honolulú, Estados Unidos;Estadounidense;Australiana;Blanca;No; Bush Christmas;Mejor actriz;Sí;2003;The Hours;;;;
Diane Lane;Femenino;Nueva York, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; A Little Romance;Mejor actriz;No;2003;Unfaithful;;;;
Julianne Moore;Femenino;Fort Bragg, Estados Unidos;Estadounidense;Británica;Blanca;Sí; Tales from the Darkside: The Movie;Mejor actriz;No;2003;Far from Heaven;;;;
Renée Zellweger;Femenino;Katy, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Reality Bites;Mejor actriz;No;2003;Chicago;;;;
Johnny Depp;Masculino;Owensboro, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; A Nightmare on Elm Street;Mejor actor;No;2004;Pirates of the Caribbean: The Curse of the Black Pearl;;;;
Ben Kingsley;Masculino;Scarborough, Inglaterra;Británica;No aplica;Multirracial;No; Fear Is the Key;Mejor actor;No;2004;House of Sand and Fog;;;;
Jude Law;Masculino;Lewisham, Inglaterra;Británica;No aplica;Blanca;Sí; Shopping;Mejor actor;No;2004;Cold Mountain;;;;
Bill Murray;Masculino;Wilmette, Estados Unidos;Estadounidense;No aplica;Blanca;No; Meatballs;Mejor actor;No;2004;Lost in Translation;;;;
Sean Penn;Masculino;Burbank, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Taps;Mejor actor;Sí;2004;Mystic River;;;;
Keisha Castle-Hughes;Femenino;Donnybrook, Australia;Australiana;Neozelandesa;Multirracial;No; Whale Rider;Mejor actriz;No;2004;Whale Rider;;;;
Diane Keaton;Femenino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Lovers and Other Strangers;Mejor actriz;No;2004;Something's Gotta Give;;;;
Samantha Morton;Femenino;Nottingham, Inglaterra;Británica;No aplica;Blanca;No; Under the Skin;Mejor actriz;No;2004;In America;;;;
Charlize Theron;Femenino;Benoni, Sudáfrica;Sudafricana;Estadounidense;Blanca;Sí; 2 Days in the Valley;Mejor actriz;Sí;2004;Monster;;;;
Naomi Watts;Femenino;Shoreham, Inglaterra;Británica;Australiana;Blanca;No; For Love Alone;Mejor actriz;No;2004;21 Grams;;;;
Don Cheadle;Masculino;Kansas City, Estados Unidos;Estadounidense;No aplica;Negra;Sí; Moving Violations;Mejor actor;No;2005;Hotel Rwanda;;;;
Johnny Depp;Masculino;Owensboro, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; A Nightmare on Elm Street;Mejor actor;No;2005;Finding Neverland;;;;
Leonardo DiCaprio;Masculino;Hollywood, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Critters 3: You Are What They Eat;Mejor actor;No;2005;The Aviator;;;;
Clint Eastwood;Masculino;San Francisco, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Francis in the Navy;Mejor actor;No;2005;Million Dollar Baby;;;;
Jamie Foxx;Masculino;Terrell, Estados Unidos;Estadounidense;No aplica;Negra;Sí; Toys;Mejor actor;Sí;2005;Ray;;;;
Annette Bening;Femenino;Topeka, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Great Outdoors;Mejor actriz;No;2005;Being Julia;;;;
Catalina Sandino Moreno;Femenino;Bogotá, Colombia;Colombiana;No aplica;Hispana;Sí;  Maria Full of Grace;Mejor actriz;No;2005;Maria Full of Grace;;;;
Imelda Staunton;Femenino;Archway, Inglaterra;Británica;No aplica;Blanca;No; Comrades;Mejor actriz;No;2005;Vera Drake;;;;
Hilary Swank;Femenino;Lincoln, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Buffy the Vampire Slayer;Mejor actriz;Sí;2005;Million Dollar Baby;;;;
Kate Winslet;Femenino;Reading, Inglaterra;Británica;No aplica;Blanca;No; Heavenly Creatures;Mejor actriz;No;2005;Eternal Sunshine of the Spotless Mind;;;;
Philip Seymour Hoffman;Masculino;Fairport, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Triple Bogey on a Par Five Hole;Mejor actor;Sí;2006;Capote;;;;
Terrence Howard;Masculino;Chicago, Estados Unidos;Estadounidense;No aplica;Negra;Sí; Who's the Man?;Mejor actor;No;2006;Hustle & Flow;;;;
Heath Ledger;Masculino;Perth, Australia;Australiana;No aplica;Blanca;No; Blackrock;Mejor actor;No;2006;Brokeback Mountain;;;;
Joaquin Phoenix;Masculino;San Juan, Puerto Rico;Estadounidense;No aplica;Blanca;Sí; SpaceCamp;Mejor actor;No;2006;Walk the Line;;;;
David Strathairn;Masculino;San Francisco, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Return of the Secaucus Seven;Mejor actor;No;2006;Good Night, and Good Luck.;;;;
Judi Dench;Femenino;York, Inglaterra;Británica;No aplica;Blanca;No; The Third Secret;Mejor actriz;No;2006;Mrs. Henderson Presents;;;;
Felicity Huffman;Femenino;Bedford, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Things Change;Mejor actriz;No;2006;Transamerica;;;;
Keira Knightley;Femenino;Teddington, Inglaterra;Británica;No aplica;Blanca;No;  Innocent Lies;Mejor actriz;No;2006;Pride & Prejudice;;;;
Charlize Theron;Femenino;Benoni, Sudáfrica;Sudafricana;Estadounidense;Blanca;Sí; 2 Days in the Valley;Mejor actriz;No;2006;North Country;;;;
Reese Witherspoon;Femenino;Nueva Orleans, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Man in the Moon;Mejor actriz;Sí;2006;Walk the Line;;;;
Leonardo DiCaprio;Masculino;Hollywood, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Critters 3: You Are What They Eat;Mejor actor;No;2007;Blood Diamond;;;;
Ryan Gosling;Masculino;Londres, Canadá;Canadiense;No aplica;Blanca;No; Frankenstein and Me;Mejor actor;No;2007;Half Nelson;;;;
Peter O'Toole;Masculino;Leeds, Inglaterra;Británica;Irlandesa;Blanca;Sí; Kidnapped;Mejor actor;No;2007;Venus;;;;
Will Smith;Masculino;Filadelfia, Estados Unidos;Estadounidense;No aplica;Negra;Sí; Where the Day Takes You;Mejor actor;No;2007;The Pursuit of Happyness;;;;
Forest Whitaker;Masculino;Longview, Estados Unidos;Estadounidense;No aplica;Negra;Sí; Tag: The Assassination Game;Mejor actor;Sí;2007;The Last King of Scotland;;;;
Penélope Cruz;Femenino;Alcobendas, España;Española;No aplica;Hispana;No; Jamón Jamón;Mejor actriz;No;2007;Volver;;;;
Judi Dench;Femenino;York, Inglaterra;Británica;No aplica;Blanca;No; The Third Secret;Mejor actriz;No;2007;Notes on a Scandal;;;;
Helen Mirren;Femenino;Chiswick, Inglaterra;Británica;Estadounidense;Blanca;No; Herostratus;Mejor actriz;Sí;2007;The Queen;;;;
Meryl Streep;Femenino;Summit, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Julia;Mejor actriz;No;2007;The Devil Wears Prada;;;;
Kate Winslet;Femenino;Reading, Inglaterra;Británica;No aplica;Blanca;No; Heavenly Creatures;Mejor actriz;No;2007;Little Children;;;;
George Clooney;Masculino;Lexington, Estados Unidos;Estadounidense;Francesa;Blanca;Sí; And They Are Off;Mejor actor;No;2008;Michael Clayton;;;;
Daniel Day-Lewis;Masculino;Greenwich, Inglaterra;Británica;Irlandesa;Blanca;No; Endless Love;Mejor actor;Sí;2008;There Will Be Blood;;;;
Johnny Depp;Masculino;Owensboro, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; A Nightmare on Elm Street;Mejor actor;No;2008;Sweeney Todd The Demon Barber of Fleet Street;;;;
Tommy Lee Jones;Masculino;San Saba, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Love Story;Mejor actor;No;2008;In the Valley of Elah;;;;
Viggo Mortensen;Masculino;Manhattan, Estados Unidos;Estadounidense;Danesa;Blanca;Sí;  Witness;Mejor actor;No;2008;Eastern Promises;;;;
Cate Blanchett;Femenino;Melbourne, Australia;Australiana;Estadounidense;Blanca;Sí; Paradise Road;Mejor actriz;No;2008;Elizabeth: The Golden Age;;;;
Julie Christie;Femenino;Chabua, India;Británica;No aplica;Blanca;No; Crooks Anonymous;Mejor actriz;No;2008;Away from Her;;;;
Marion Cotillard;Femenino;París, Francia;Francesa;No aplica;Blanca;No; L'histoire du garçon qui voulait qu'on l'embrasse;Mejor actriz;Sí;2008;La Vie en Rose;;;;
Laura Linney;Femenino;Nueva York, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Lorenzo's Oil;Mejor actriz;No;2008;The Savages;;;;
Elliot Page;Masculino;Halifax, Canadá;Canadiense;No aplica;Blanca;No; Marion Bridge;Mejor actriz;No;2008;Juno;;;;
Richard Jenkins;Masculino;DeKalb, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Little Sister;Mejor actor;No;2009;The Visitor;;;;
Frank Langella;Masculino;Bayonne, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Diary of a Mad Housewife;Mejor actor;No;2009;Frost/Nixon;;;;
Sean Penn;Masculino;Burbank, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Taps;Mejor actor;Sí;2009;Milk;;;;
Brad Pitt;Masculino;Shawnee, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Cutting Class;Mejor actor;No;2009;The Curious Case of Benjamin Button;;;;
Mickey Rourke;Masculino;Schenectady, Estados Unidos;Estadounidense;No aplica;Blanca;Sí;1941;Mejor actor;No;2009;The Wrestler;;;;
Anne Hathaway;Femenino;Brooklyn, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Princess Diaries;Mejor actriz;No;2009;Rachel Getting Married;;;;
Angelina Jolie;Femenino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Lookin' to Get Out;Mejor actriz;No;2009;Changeling;;;;
Melissa Leo;Femenino;Nueva York, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Streetwalkin';Mejor actriz;No;2009;Frozen River;;;;
Meryl Streep;Femenino;Summit, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Julia;Mejor actriz;No;2009;Doubt;;;;
Kate Winslet;Femenino;Reading, Inglaterra;Británica;No aplica;Blanca;No; Heavenly Creatures;Mejor actriz;Sí;2009;The Reader;;;;
Jeff Bridges;Masculino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Halls of Anger;Mejor actor;Sí;2010;Crazy Heart;;;;
George Clooney;Masculino;Lexington, Estados Unidos;Estadounidense;Francesa;Blanca;Sí; And They Are Off;Mejor actor;No;2010;Up in the Air;;;;
Colin Firth;Masculino;Grayshott, Inglaterra;Británica;Italiana;Blanca;No; Another Country;Mejor actor;No;2010;A Single Man;;;;
Morgan Freeman;Masculino;Memphis, Estados Unidos;Estadounidense;No aplica;Negra;Sí; Who Says I Can't Ride a Rainbow!;Mejor actor;No;2010;Invictus;;;;
Jeremy Renner;Masculino;Modesto, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Senior Trip;Mejor actor;No;2010;The Hurt Locker;;;;
Sandra Bullock;Femenino;Arlington, Estados Unidos;Estadounidense;Alemana;Blanca;Sí; Hangmen;Mejor actriz;Sí;2010;The Blind Side;;;;
Helen Mirren;Femenino;Chiswick, Inglaterra;Británica;Estadounidense;Blanca;No; Herostratus;Mejor actriz;No;2010;The Last Station;;;;
Carey Mulligan;Femenino;Westminster, Inglaterra;Británica;No aplica;Blanca;Sí; Pride & Prejudice;Mejor actriz;No;2010;An Education;;;;
Gabourey Sidibe;Femenino;Brooklyn, Estados Unidos;Estadounidense;No aplica;Negra;Sí; Precious;Mejor actriz;No;2010;Precious: Based on the Novel 'Push' by Sapphire;;;;
Meryl Streep;Femenino;Summit, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Julia;Mejor actriz;No;2010;Julie & Julia;;;;
Javier Bardem;Masculino;Las Palmas de Gran Canaria, España;Española;No aplica;Hispana;No; Las edades de Lulú;Mejor actor;No;2011;Biutiful;;;;
Jeff Bridges;Masculino;Los Ángeles, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Halls of Anger;Mejor actor;No;2011;True Grit;;;;
Jesse Eisenberg;Masculino;Queens, Estados Unidos;Estadounidense;Polaca;Blanca;Sí; Roger Dodger;Mejor actor;No;2011;The Social Network;;;;
Colin Firth;Masculino;Grayshott, Inglaterra;Británica;Italiana;Blanca;No; Another Country;Mejor actor;Sí;2011;The King's Speech;;;;
James Franco;Masculino;Palo Alto, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Never Been Kissed;Mejor actor;No;2011;127 Hours;;;;
Annette Bening;Femenino;Topeka, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The Great Outdoors;Mejor actriz;No;2011;The Kids Are All Right;;;;
Nicole Kidman;Femenino;Honolulú, Estados Unidos;Estadounidense;Australiana;Blanca;No; Bush Christmas;Mejor actriz;No;2011;Rabbit Hole;;;;
Jennifer Lawrence;Femenino;Louisville, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Garden Party;Mejor actriz;No;2011;Winter's Bone;;;;
Natalie Portman;Femenino;Jerusalén, Israel;Israelí;Estadounidense ;Blanca;Sí; Léon;Mejor actriz;Sí;2011;Black Swan;;;;
Michelle Williams;Femenino;Kalispell, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Lassie;Mejor actriz;No;2011;Blue Valentine;;;;
Demián Bichir;Masculino;Ciudad de México, México;Mexicana;No aplica;Hispana;No; Astucia;Mejor actor;No;2012;A Better Life;;;;
George Clooney;Masculino;Lexington, Estados Unidos;Estadounidense;Francesa;Blanca;Sí; And They Are Off;Mejor actor;No;2012;The Descendants;;;;
Jean Dujardin;Masculino;Rueil-Malmaison, Francia;Francesa;No aplica;Blanca;No; Ah! Si j'étais riche;Mejor actor;Sí;2012;The Artist;;;;
Gary Oldman;Masculino;New Cross, Inglaterra;Británica;No aplica;Blanca;No; Remembrance;Mejor actor;No;2012;Tinker Tailor Soldier Spy;;;;
Brad Pitt;Masculino;Shawnee, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Cutting Class;Mejor actor;No;2012;Moneyball;;;;
Glenn Close;Femenino;Greenwich, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; The World According to Garp;Mejor actriz;No;2012;Albert Nobbs;;;;
Viola Davis;Femenino;Saint Matthews, Estados Unidos;Estadounidense;No aplica;Negra;Sí; The Substance of Fire;Mejor actriz;No;2012;The Help;;;;
Rooney Mara;Femenino;Bedford, Estados Unidos;Estadounidense;No aplica;Blanca;Sí;  Urban Legends: Bloody Mary;Mejor actriz;No;2012;The Girl with the Dragon Tattoo;;;;
Meryl Streep;Femenino;Summit, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Julia;Mejor actriz;Sí;2012;The Iron Lady;;;;
Michelle Williams;Femenino;Kalispell, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Lassie;Mejor actriz;No;2012;My Week with Marilyn;;;;
Bradley Cooper;Masculino;Filadelfia, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Wet Hot American Summer;Mejor actor;No;2013;Silver Linings Playbook;;;;
Daniel Day-Lewis;Masculino;Greenwich, Inglaterra;Británica;Irlandesa;Blanca;No; Endless Love;Mejor actor;Sí;2013;Lincoln;;;;
Hugh Jackman;Masculino;Sídney, Australia;Australiana;Británica;Blanca;No; Paperback Hero;Mejor actor;No;2013;Les Misérables;;;;
Joaquin Phoenix;Masculino;San Juan, Puerto Rico;Estadounidense;No aplica;Blanca;Sí; SpaceCamp;Mejor actor;No;2013;The Master;;;;
Denzel Washington;Masculino;Mount Vernon, Estados Unidos;Estadounidense;No aplica;Negra;Sí; Carbon Copy;Mejor actor;No;2013;Flight;;;;
Jessica Chastain;Femenino;Condado de Sonoma, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Jolene;Mejor actriz;No;2013;Zero Dark Thirty;;;;
Jennifer Lawrence;Femenino;Louisville, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Garden Party;Mejor actriz;Sí;2013;Silver Linings Playbook;;;;
Emmanuelle Riva;Femenino;Cheniménil, Francia;Francesa;No aplica;Blanca;No; Hiroshima mon amour;Mejor actriz;No;2013;Amour;;;;
Quvenzhané Wallis;Femenino;Houma, Estados Unidos;Estadounidense;No aplica;Negra;Sí; Beasts of the Southern Wild;Mejor actriz;No;2013;Beasts of the Southern Wild;;;;
Naomi Watts;Femenino;Shoreham, Inglaterra;Británica;Australiana;Blanca;No; For Love Alone;Mejor actriz;No;2013;The Impossible;;;;
Christian Bale;Masculino;Haverfordwest, Pembrokeshire, Gales, Reino Unido;Británica;Estadounidense;Blanca;No; Mio min Mio;Mejor actor;No;2014;American Hustle;;;;
Bruce Dern;Masculino;Chicago, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Marnie;Mejor actor;No;2014;Nebraska;;;;
Leonardo DiCaprio;Masculino;Hollywood, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Critters 3: You Are What They Eat;Mejor actor;No;2014;The Wolf of Wall Street;;;;
Chiwetel Ejiofor;Masculino;Forest Gate, Inglaterra;Británica;No aplica;Negra;Sí; Amistad;Mejor actor;No;2014;12 Years a Slave;;;;
Matthew McConaughey;Masculino;Uvalde, Estados Unidos;Estadounidense;No aplica;Blanca;Sí; Dazed and Confused;Mejor actor;Sí;2014;Dallas Buyers Club;;;;
Amy Adams;Femenino;Vicenza, Italia;Estadounidense;No aplica;Blanca;Sí; Drop Dead Gorgeous;Mejor actriz;No;2014;American Hustle;;;;
